Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lesotho,36.1,36.35,36.6,36.85,37.1,36.92,36.74,36.56,36.38,36.2,35.34,34.480000000000004,33.62,32.76,31.9,30.959999999999997,30.02,29.08,28.14,27.2,26.4,25.3,24.6,24.3,24.3,24.2,23.6
Liberia,2.3,2.375,2.45,2.525,2.6,2.64,2.68,2.7199999999999998,2.76,2.8,2.7199999999999998,2.6399999999999997,2.56,2.48,2.4,2.38,2.36,2.34,2.32,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.0
Libya,19.4,19.724999999999998,20.049999999999997,20.375,20.7,20.7,20.7,20.7,20.7,20.7,20.259999999999998,19.82,19.38,18.94,18.5,18.32,18.14,17.96,17.78,17.6,19.6,19.0,18.3,17.1,16.1,16.2,17.1
Lithuania,1.1,5.199999999999999,9.299999999999999,13.399999999999999,17.5,17.18,16.86,16.54,16.22,15.9,14.38,12.86,11.34,9.82,8.3,10.200000000000001,12.100000000000001,14.0,15.9,17.8,15.4,13.4,11.8,10.7,9.1,7.9,7.1
Luxembourg,1.5,1.85,2.2,2.55,2.9,2.8,2.6999999999999997,2.5999999999999996,2.5,2.4,2.82,3.24,3.66,4.08,4.5,4.48,4.46,4.44,4.42,4.4,4.9,5.1,5.9,5.9,6.7,6.3,5.5
Madagascar,5.2,5.35,5.5,5.65,5.8,5.8,5.8,5.8,5.8,5.8,5.12,4.4399999999999995,3.76,3.08,2.4,2.78,3.16,3.54,3.92,4.3,2.1,0.6,0.9,1.3,1.8,1.8,1.7
Malawi,7.4,7.6,7.8,8.0,8.2,8.24,8.28,8.32,8.36,8.4,8.280000000000001,8.16,8.04,7.92,7.8,7.5,7.2,6.9,6.6,6.3,6.4,6.2,6.0,5.9,5.8,5.7,5.5
Malaysia,3.6,3.5,3.4000000000000004,3.3000000000000003,3.2,3.16,3.12,3.08,3.04,3.0,3.1,3.2,3.3,3.4,3.5,3.46,3.42,3.38,3.34,3.3,3.1,3.0,3.1,2.9,3.1,3.4,3.4
Maldives,0.7,0.725,0.75,0.775,0.8,1.04,1.28,1.52,1.76,2.0,2.18,2.36,2.54,2.7199999999999998,2.9,3.1399999999999997,3.38,3.6199999999999997,3.8599999999999994,4.1,4.4,4.7,5.0,5.2,5.7,6.1,5.8
Mali,3.1,3.125,3.1500000000000004,3.1750000000000003,3.2,3.66,4.12,4.58,5.04,5.5,6.4,7.3,8.2,9.1,10.0,9.62,9.24,8.86,8.48,8.1,6.9,7.1,7.3,6.4,7.7,9.7,9.4
