Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ireland,7.7,7.38,7.06,6.74,6.42,6.1,6.08,6.06,6.04,6.02,6.0,5.68,5.36,5.04,4.720000000000001,4.4,4.220000000000001,4.04,3.8600000000000003,3.68,3.5,3.4,3.4,3.3,3.2,3.1,3.0
Israel,9.7,9.2,8.7,8.2,7.7,7.2,6.88,6.56,6.24,5.92,5.6,5.38,5.16,4.9399999999999995,4.72,4.5,4.34,4.18,4.0200000000000005,3.8600000000000003,3.7,3.5,3.4,3.3,3.2,3.0,2.9
Italy,8.4,8.0,7.6000000000000005,7.2,6.800000000000001,6.4,6.0600000000000005,5.720000000000001,5.380000000000001,5.04,4.7,4.5200000000000005,4.34,4.16,3.98,3.8,3.7199999999999998,3.6399999999999997,3.56,3.48,3.4,3.3,3.2,3.1,3.0,3.0,2.9
Jamaica,25.5,24.8,24.1,23.4,22.7,22.0,21.4,20.8,20.2,19.6,19.0,18.66,18.32,17.98,17.64,17.3,17.04,16.78,16.52,16.26,16.0,15.6,15.2,14.8,14.3,13.9,13.5
Japan,4.6,4.5,4.3999999999999995,4.3,4.199999999999999,4.1,3.9399999999999995,3.78,3.6199999999999997,3.46,3.3,3.1999999999999997,3.0999999999999996,3.0,2.9,2.8,2.7199999999999998,2.6399999999999997,2.56,2.48,2.4,2.4,2.2,2.1,2.1,2.1,1.9
Jordan,29.8,29.080000000000002,28.36,27.64,26.919999999999998,26.2,25.62,25.04,24.46,23.88,23.3,22.76,22.220000000000002,21.68,21.14,20.6,20.080000000000002,19.560000000000002,19.04,18.52,18.0,17.5,17.0,16.5,16.0,15.5,15.1
Kazakhstan,44.6,44.64,44.68,44.72,44.76,44.8,43.26,41.72,40.18,38.64,37.1,35.22,33.34,31.46,29.58,27.7,25.8,23.9,22.0,20.1,18.2,16.4,14.6,13.1,11.8,10.7,9.7
Kenya,65.9,66.78,67.66,68.54,69.42,70.3,69.03999999999999,67.78,66.52,65.26,64.0,61.28,58.56,55.84,53.12,50.4,48.3,46.199999999999996,44.099999999999994,42.0,39.9,38.9,38.3,37.4,36.3,35.1,34.3
Kiribati,69.2,67.4,65.60000000000001,63.800000000000004,62.0,60.2,58.900000000000006,57.6,56.300000000000004,55.0,53.7,53.04,52.38,51.72,51.06,50.4,50.24,50.08,49.92,49.76,49.6,48.8,47.9,46.9,45.9,44.8,43.8
Korea (Democratic People's Rep. of),33.4,37.36,41.32,45.28,49.24,53.2,51.46,49.72,47.980000000000004,46.24,44.5,40.88,37.26,33.64,30.02,26.4,25.74,25.08,24.42,23.76,23.1,21.5,19.8,18.3,17.0,16.0,15.1
Korea (Republic of),13.3,12.42,11.540000000000001,10.66,9.780000000000001,8.9,8.4,7.9,7.4,6.9,6.4,6.0600000000000005,5.720000000000001,5.380000000000001,5.04,4.7,4.46,4.22,3.98,3.74,3.5,3.4,3.3,3.2,3.1,3.0,2.9
Kuwait,15.1,14.58,14.06,13.54,13.02,12.5,12.18,11.86,11.540000000000001,11.22,10.9,10.74,10.58,10.42,10.26,10.1,9.92,9.74,9.559999999999999,9.379999999999999,9.2,8.9,8.5,8.2,7.8,7.5,7.2
Kyrgyzstan,54.6,53.84,53.08,52.32,51.559999999999995,50.8,49.08,47.36,45.64,43.92,42.2,40.620000000000005,39.04,37.46,35.879999999999995,34.3,32.66,31.02,29.38,27.740000000000002,26.1,24.6,23.2,22.0,20.9,19.8,18.8
Lao People's Democratic Republic,106.1,103.24,100.38,97.52,94.66,91.8,89.44,87.08,84.72,82.36,80.0,77.86,75.72,73.58,71.44,69.3,67.34,65.38,63.42,61.46,59.5,57.8,56.0,54.5,53.0,51.5,50.1
Latvia,13.1,13.62,14.139999999999999,14.66,15.18,15.7,14.879999999999999,14.059999999999999,13.239999999999998,12.42,11.6,11.02,10.44,9.86,9.28,8.7,8.28,7.859999999999999,7.4399999999999995,7.02,6.6,6.2,5.7,5.2,4.7,4.3,3.9
Lebanon,26.9,25.86,24.82,23.78,22.74,21.7,20.78,19.86,18.94,18.02,17.1,16.12,15.14,14.16,13.18,12.2,11.52,10.84,10.16,9.48,8.8,8.4,8.1,7.7,7.4,7.2,6.9
Lesotho,71.2,71.88,72.56,73.24,73.92,74.6,76.17999999999999,77.75999999999999,79.34,80.92,82.5,83.1,83.7,84.3,84.9,85.5,83.3,81.1,78.9,76.7,74.5,73.0,72.8,72.0,70.9,70.5,68.4
Liberia,173.7,171.39999999999998,169.1,166.79999999999998,164.5,162.2,154.89999999999998,147.6,140.3,133.0,125.7,118.54,111.38000000000001,104.22,97.06,89.9,86.0,82.10000000000001,78.2,74.30000000000001,70.4,67.8,65.4,63.2,61.2,59.3,57.6
Libya,35.7,34.24,32.78,31.32,29.86,28.4,27.54,26.68,25.82,24.96,24.1,23.240000000000002,22.380000000000003,21.520000000000003,20.66,19.8,18.68,17.56,16.439999999999998,15.32,14.2,13.9,12.9,12.3,11.8,11.4,11.0
Lithuania,12.0,11.98,11.96,11.94,11.92,11.9,11.24,10.58,9.92,9.26,8.6,8.32,8.04,7.76,7.48,7.2,6.74,6.28,5.82,5.36,4.9,4.5,4.2,4.0,4.0,4.0,3.8
Luxembourg,7.3,6.8999999999999995,6.5,6.1,5.699999999999999,5.3,5.02,4.74,4.46,4.18,3.9,3.7199999999999998,3.54,3.36,3.1799999999999997,3.0,2.88,2.76,2.6399999999999997,2.52,2.4,2.4,2.3,2.3,2.2,2.2,2.1
Madagascar,97.7,95.18,92.66,90.14,87.61999999999999,85.1,81.78,78.46,75.14,71.82,68.5,65.6,62.7,59.8,56.9,54.0,51.78,49.56,47.34,45.12,42.9,40.9,39.0,37.4,36.1,34.9,33.7
Malawi,138.2,134.17999999999998,130.16,126.13999999999999,122.11999999999999,118.1,114.69999999999999,111.3,107.89999999999999,104.5,101.1,94.72,88.34,81.96000000000001,75.58,69.2,66.60000000000001,64.0,61.400000000000006,58.800000000000004,56.2,52.9,49.2,46.4,44.1,42.0,40.2
Malaysia,14.3,13.74,13.18,12.620000000000001,12.06,11.5,10.94,10.379999999999999,9.82,9.26,8.7,8.36,8.02,7.68,7.34,7.0,6.92,6.84,6.76,6.68,6.6,6.5,6.4,6.4,6.4,6.5,6.6
Maldives,68.0,65.0,62.0,59.0,56.0,53.0,49.42,45.84,42.260000000000005,38.68,35.1,31.94,28.78,25.62,22.46,19.3,17.68,16.06,14.44,12.82,11.2,10.2,9.3,8.6,8.0,7.5,7.1
Mali,130.1,128.85999999999999,127.62,126.38,125.14,123.9,122.18,120.46000000000001,118.74,117.02,115.3,111.16,107.02,102.88,98.74,94.6,91.5,88.39999999999999,85.3,82.19999999999999,79.1,76.9,74.7,72.8,71.0,69.2,67.4
