Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Madagascar,778.0,751.2,724.4,697.6,670.8,644.0,622.4,600.8,579.2,557.6,536.0,530.4,524.8,519.2,513.6,508.0,493.6,479.2,464.8,450.4,436.0,420.0,402.0,384.0,369.0
Malawi,957.0,956.2,955.4,954.6,953.8,953.0,940.4,927.8,915.2,902.6,890.0,841.6,793.2,744.8,696.4,648.0,644.2,640.4,636.6,632.8,629.0,618.0,624.0,636.0,638.0
Malaysia,79.0,76.8,74.6,72.4,70.2,68.0,66.0,64.0,62.0,60.0,58.0,56.8,55.6,54.4,53.2,52.0,51.2,50.4,49.6,48.8,48.0,47.0,45.0,43.0,41.0
Maldives,677.0,609.6,542.2,474.79999999999995,407.4,340.0,304.6,269.2,233.8,198.4,163.0,150.6,138.2,125.8,113.4,101.0,98.2,95.4,92.6,89.8,87.0,82.0,76.0,70.0,69.0
Mali,1010.0,990.2,970.4,950.6,930.8,911.0,895.6,880.2,864.8,849.4,834.0,810.0,786.0,762.0,738.0,714.0,697.2,680.4,663.6,646.8,630.0,617.0,617.0,610.0,601.0
Malta,13.0,13.2,13.4,13.6,13.8,14.0,14.2,14.4,14.6,14.8,15.0,14.6,14.2,13.8,13.4,13.0,12.6,12.2,11.8,11.4,11.0,11.0,11.0,9.0,9.0
Mauritania,859.0,852.0,845.0,838.0,831.0,824.0,821.8,819.6,817.4,815.2,813.0,800.4,787.8,775.2,762.6,750.0,744.6,739.2,733.8,728.4,723.0,704.0,682.0,655.0,629.0
Mauritius,81.0,76.8,72.6,68.4,64.2,60.0,56.0,52.0,48.0,44.0,40.0,39.8,39.6,39.4,39.2,39.0,43.0,47.0,51.0,55.0,59.0,51.0,54.0,54.0,54.0
Mexico,90.0,89.0,88.0,87.0,86.0,85.0,83.4,81.8,80.2,78.6,77.0,72.4,67.8,63.2,58.6,54.0,52.2,50.4,48.6,46.8,45.0,42.0,42.0,41.0,39.0
Micronesia (Federated States of),183.0,179.6,176.2,172.8,169.4,166.0,163.4,160.8,158.2,155.6,153.0,149.2,145.4,141.6,137.8,134.0,130.2,126.4,122.6,118.8,115.0,110.0,107.0,104.0,102.0
Moldova (Republic of),51.0,54.0,57.0,60.0,63.0,66.0,62.6,59.2,55.8,52.4,49.0,47.0,45.0,43.0,41.0,39.0,38.0,37.0,36.0,35.0,34.0,25.0,26.0,24.0,24.0
Mongolia,186.0,189.8,193.6,197.4,201.2,205.0,196.2,187.4,178.6,169.8,161.0,147.8,134.6,121.4,108.2,95.0,88.6,82.2,75.8,69.4,63.0,58.0,53.0,49.0,46.0
