Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ghana,126.5,123.64,120.78,117.92,115.06,112.2,109.60000000000001,107.0,104.4,101.8,99.2,96.5,93.8,91.1,88.4,85.7,83.04,80.38000000000001,77.72,75.06,72.4,68.9,65.2,61.5,58.0,54.7,51.8
Greece,10.4,10.02,9.64,9.26,8.88,8.5,8.08,7.66,7.24,6.82,6.4,6.04,5.68,5.32,4.96,4.6,4.46,4.319999999999999,4.18,4.04,3.9,3.9,4.0,4.2,4.4,4.8,5.1
Grenada,23.4,22.4,21.4,20.4,19.4,18.4,17.86,17.32,16.779999999999998,16.24,15.7,15.379999999999999,15.059999999999999,14.74,14.42,14.1,14.14,14.18,14.22,14.26,14.3,14.6,15.0,15.4,15.9,16.3,16.6
Guatemala,81.4,77.98,74.56,71.14,67.72,64.3,61.82,59.339999999999996,56.86,54.379999999999995,51.9,50.04,48.18,46.32,44.46,42.6,41.160000000000004,39.72,38.28,36.839999999999996,35.4,34.1,32.9,31.7,30.6,29.6,28.6
Guinea,234.6,228.07999999999998,221.56,215.04,208.52,202.0,194.68,187.36,180.04000000000002,172.72,165.4,158.6,151.8,145.0,138.20000000000002,131.4,126.88000000000001,122.36,117.84,113.32,108.8,105.1,101.6,98.2,94.9,91.7,88.7
Guinea-Bissau,223.9,219.38,214.86,210.34,205.82000000000002,201.3,196.20000000000002,191.10000000000002,186.0,180.9,175.8,169.74,163.68,157.62,151.56,145.5,139.16,132.82,126.47999999999999,120.14,113.8,108.2,103.0,98.4,94.5,90.7,87.4
Guyana,60.5,58.98,57.46,55.94,54.42,52.9,51.66,50.42,49.18,47.940000000000005,46.7,45.68,44.660000000000004,43.64,42.620000000000005,41.6,40.800000000000004,40.0,39.2,38.4,37.6,36.8,36.0,35.1,34.3,33.3,32.3
Haiti,144.8,140.66,136.52,132.38,128.24,124.1,120.08,116.06,112.03999999999999,108.02,104.0,101.26,98.52,95.78,93.03999999999999,90.3,114.42,138.54,162.66,186.78,210.9,80.6,79.3,77.9,76.5,75.0,73.4
Honduras,58.2,55.88,53.56,51.24,48.92,46.6,44.76,42.92,41.08,39.24,37.4,35.839999999999996,34.28,32.72,31.16,29.6,28.42,27.240000000000002,26.060000000000002,24.88,23.7,22.7,21.9,21.0,20.3,19.6,18.9
Hungary,17.3,16.34,15.38,14.42,13.46,12.5,12.02,11.54,11.059999999999999,10.58,10.1,9.58,9.06,8.54,8.02,7.5,7.2,6.9,6.6,6.3,6.0,5.9,5.7,5.6,5.4,5.1,4.8
Iceland,6.3,6.1,5.8999999999999995,5.699999999999999,5.5,5.3,5.06,4.819999999999999,4.58,4.34,4.1,3.92,3.7399999999999998,3.56,3.38,3.2,3.1,3.0,2.9000000000000004,2.8000000000000003,2.7,2.6,2.5,2.4,2.3,2.3,2.2
India,126.0,122.68,119.36,116.04,112.72,109.4,105.86,102.32000000000001,98.78,95.24000000000001,91.7,88.26,84.82000000000001,81.38,77.94,74.5,71.28,68.06,64.84,61.62,58.4,55.3,52.4,49.5,46.7,44.1,41.6
Indonesia,84.0,80.44,76.88,73.32,69.76,66.2,63.38,60.56,57.74,54.92,52.1,49.96,47.82,45.68,43.54,41.4,39.76,38.12,36.480000000000004,34.84,33.2,31.8,30.6,29.4,28.3,27.2,26.3
Iran (Islamic Republic of),56.1,53.74,51.38,49.019999999999996,46.66,44.3,42.28,40.26,38.24,36.22,34.2,32.52,30.840000000000003,29.160000000000004,27.48,25.8,24.560000000000002,23.32,22.080000000000002,20.840000000000003,19.6,18.8,18.0,17.3,16.6,16.0,15.5
Iraq,53.9,52.96,52.02,51.08,50.14,49.2,48.34,47.480000000000004,46.62,45.76,44.9,44.14,43.38,42.62,41.86,41.1,40.26,39.42,38.58,37.74,36.9,36.0,35.1,34.1,33.2,32.3,31.3
Ireland,9.2,8.82,8.44,8.059999999999999,7.68,7.3,7.28,7.26,7.24,7.22,7.2,6.8,6.4,6.0,5.6,5.2,5.0,4.8,4.6,4.4,4.2,4.1,4.0,3.9,3.8,3.7,3.6
Israel,11.6,11.02,10.44,9.86,9.28,8.7,8.34,7.9799999999999995,7.62,7.26,6.9,6.640000000000001,6.38,6.12,5.859999999999999,5.6,5.3999999999999995,5.199999999999999,5.0,4.8,4.6,4.4,4.2,4.1,4.0,3.8,3.7
Italy,9.7,9.26,8.82,8.379999999999999,7.9399999999999995,7.5,7.12,6.74,6.359999999999999,5.9799999999999995,5.6,5.38,5.16,4.9399999999999995,4.72,4.5,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.5,3.4
Jamaica,30.6,29.700000000000003,28.8,27.900000000000002,27.0,26.1,25.34,24.580000000000002,23.82,23.060000000000002,22.3,21.88,21.46,21.04,20.62,20.2,19.9,19.599999999999998,19.3,19.0,18.7,18.2,17.7,17.2,16.7,16.2,15.7
Japan,6.3,6.18,6.06,5.94,5.82,5.7,5.46,5.22,4.98,4.74,4.5,4.34,4.18,4.0200000000000005,3.8600000000000003,3.7,3.6,3.5,3.4000000000000004,3.3000000000000003,3.2,3.4,3.0,2.9,2.8,3.0,2.7
Jordan,36.4,35.42,34.44,33.46,32.48,31.5,30.76,30.02,29.28,28.54,27.8,27.1,26.400000000000002,25.700000000000003,25.0,24.3,23.66,23.02,22.380000000000003,21.740000000000002,21.1,20.5,19.9,19.2,18.7,18.1,17.6
Kazakhstan,52.5,52.56,52.62,52.68,52.739999999999995,52.8,50.839999999999996,48.879999999999995,46.92,44.96,43.0,40.7,38.4,36.1,33.8,31.5,29.28,27.06,24.84,22.619999999999997,20.4,18.3,16.4,14.7,13.2,12.0,10.9
Kenya,103.7,105.74000000000001,107.78,109.82000000000001,111.86,113.9,112.02000000000001,110.14,108.26,106.38,104.5,99.44,94.38,89.32,84.26,79.2,75.04,70.88,66.72,62.56,58.4,56.3,54.4,52.3,50.5,48.7,47.1
Kiribati,95.7,92.84,89.98,87.12,84.26,81.4,79.36,77.32000000000001,75.28,73.24000000000001,71.2,70.2,69.2,68.2,67.2,66.2,65.94,65.68,65.42,65.16000000000001,64.9,63.7,62.3,60.9,59.3,57.8,56.2
Korea (Democratic People's Rep. of),43.3,49.18,55.06,60.94,66.82,72.7,70.14,67.58,65.02,62.46,59.9,54.5,49.099999999999994,43.699999999999996,38.3,32.9,32.22,31.54,30.86,30.18,29.5,27.6,25.7,23.9,22.4,21.0,20.0
Korea (Republic of),15.5,14.48,13.46,12.44,11.42,10.4,9.82,9.24,8.66,8.08,7.5,7.1,6.7,6.3,5.9,5.5,5.22,4.9399999999999995,4.66,4.38,4.1,4.0,3.8,3.7,3.6,3.5,3.4
Kuwait,17.6,17.0,16.400000000000002,15.8,15.2,14.6,14.219999999999999,13.84,13.459999999999999,13.08,12.7,12.52,12.34,12.16,11.98,11.8,11.600000000000001,11.4,11.200000000000001,11.0,10.8,10.4,10.0,9.5,9.1,8.8,8.4
Kyrgyzstan,65.8,64.75999999999999,63.72,62.68,61.64,60.6,58.38,56.160000000000004,53.94,51.72,49.5,47.5,45.5,43.5,41.5,39.5,37.52,35.54,33.56,31.580000000000002,29.6,27.8,26.2,24.8,23.5,22.3,21.1
Lao People's Democratic Republic,154.2,149.62,145.04,140.46,135.88,131.3,127.56,123.82000000000001,120.08,116.34,112.6,109.25999999999999,105.92,102.58,99.24000000000001,95.9,92.80000000000001,89.7,86.60000000000001,83.5,80.4,77.7,75.0,72.5,70.1,67.9,65.6
Latvia,16.9,17.459999999999997,18.02,18.58,19.14,19.7,18.62,17.54,16.46,15.38,14.3,13.540000000000001,12.780000000000001,12.02,11.26,10.5,9.96,9.42,8.879999999999999,8.34,7.8,7.3,6.7,6.1,5.5,5.0,4.6
Lebanon,32.4,31.08,29.759999999999998,28.439999999999998,27.12,25.8,24.64,23.48,22.32,21.16,20.0,18.84,17.68,16.52,15.36,14.2,13.42,12.64,11.86,11.08,10.3,9.8,9.4,9.0,8.7,8.4,8.1
Lesotho,88.8,90.46,92.11999999999999,93.78,95.44,97.1,101.06,105.02,108.98,112.94,116.9,118.28,119.66,121.04,122.42,123.8,118.88,113.96,109.03999999999999,104.12,99.2,98.4,97.4,95.8,94.7,93.8,88.9
Liberia,260.5,257.04,253.57999999999998,250.12,246.66,243.2,231.78,220.35999999999999,208.94,197.51999999999998,186.1,174.54,162.98,151.42000000000002,139.86,128.3,122.14000000000001,115.98,109.82000000000001,103.66,97.5,93.4,89.7,86.3,83.0,80.1,77.4
Libya,41.8,40.059999999999995,38.32,36.58,34.84,33.1,32.1,31.1,30.1,29.1,28.1,27.1,26.1,25.1,24.1,23.1,21.8,20.5,19.200000000000003,17.900000000000002,16.6,17.6,15.0,14.4,13.8,13.3,12.8
Lithuania,15.2,15.16,15.12,15.08,15.04,15.0,14.14,13.28,12.42,11.559999999999999,10.7,10.36,10.02,9.68,9.34,9.0,8.4,7.8,7.2,6.6,6.0,5.5,5.2,5.0,5.0,5.0,4.7
Luxembourg,8.7,8.24,7.779999999999999,7.32,6.86,6.4,6.08,5.76,5.4399999999999995,5.12,4.8,4.56,4.32,4.08,3.84,3.6,3.48,3.36,3.24,3.12,3.0,2.9,2.8,2.8,2.7,2.7,2.6
Madagascar,160.0,155.38,150.76,146.14000000000001,141.52,136.9,130.94,124.98,119.02,113.06,107.1,101.97999999999999,96.86,91.74,86.62,81.5,77.56,73.62,69.68,65.74,61.8,58.3,55.0,52.3,49.9,47.8,45.9
Malawi,234.7,228.0,221.29999999999998,214.6,207.89999999999998,201.2,195.34,189.48,183.62,177.76,171.9,160.3,148.70000000000002,137.10000000000002,125.5,113.9,108.84,103.78,98.72,93.66,88.6,83.1,75.9,70.4,65.7,61.7,58.4
Malaysia,16.6,15.940000000000001,15.280000000000001,14.620000000000001,13.96,13.3,12.68,12.06,11.44,10.82,10.2,9.799999999999999,9.399999999999999,9.0,8.6,8.2,8.1,8.0,7.8999999999999995,7.8,7.7,7.6,7.5,7.4,7.5,7.6,7.7
Maldives,93.8,89.08,84.36,79.64,74.92,70.2,64.92,59.64,54.36,49.08,43.8,39.559999999999995,35.32,31.08,26.84,22.6,20.700000000000003,18.8,16.9,15.0,13.1,11.9,10.8,10.0,9.3,8.8,8.3
Mali,254.0,251.12,248.24,245.35999999999999,242.48,239.6,235.57999999999998,231.56,227.54,223.52,219.5,209.86,200.22,190.58,180.94,171.3,164.18,157.06,149.94,142.82,135.7,130.7,125.9,121.6,117.7,113.7,109.6
